ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.00757774,null,null,null,0.00448366
0.97695,0.0123193,null,null,null
-0.305625,null,0.845176,null,null
-0.0515445,null,null,0.455976,null
0.000690696,null,null,null,0.00195479
0.979666,0.0107143,null,null,null
-0.163194,null,0.870117,null,null
-0.133316,null,null,0.630718,null
0.000986795,null,null,null,0.00653568
0.980592,0.00902252,null,null,null
-0.07961,null,0.738269,null,null
0.0611763,null,null,0.654687,null
-0.00589409,null,null,null,0.000243087
0.978056,0.0095728,null,null,null
-0.00267836,null,0.654713,null,null
-0.0319915,null,null,0.635062,null
0.00145074,null,null,null,-0.00368252
0.97889,0.0124063,null,null,null
0.0162371,null,0.681974,null,null
0.0261899,null,null,0.60503,null
-0.0033978,null,null,null,-0.00224221
0.980352,0.0109814,null,null,null
0.0538801,null,0.734856,null,null
0.269656,null,null,0.359356,null
0.00658647,null,null,null,0.000743091
0.982426,0.00870014,null,null,null
-0.0493311,null,0.623167,null,null
0.153152,null,null,0.475372,null
0.00444803,null,null,null,0.00837596
0.982426,0.00870014,null,null,null
-0.0493311,null,0.623167,null,null
0.153152,null,null,0.475372,null
0.00444803,null,null,null,0.00837596
0.982426,0.00870014,null,null,null
-0.0493311,null,0.623167,null,null
0.153152,null,null,0.475372,null
0.00444803,null,null,null,0.00837596
0.985313,0.0101619,null,null,null
-0.168045,null,0.74908,null,null
-0.077705,null,null,0.45753,null
0.00340238,null,null,null,0.0059084
0.983324,0.0122559,null,null,null
0.0269878,null,0.991431,null,null
-0.141301,null,null,0.454973,null
0.00205638,null,null,null,0.00653089
0.983725,0.0149362,null,null,null
0.070538,null,0.859855,null,null
-0.0109936,null,null,0.531491,null
0.000393616,null,null,null,-0.000166376
0.985729,0.0175991,null,null,null
0.00978076,null,0.810693,null,null
-0.0892164,null,null,0.512081,null
-0.00278151,null,null,null,-0.00401781
0.986487,0.0174341,null,null,null
-0.043219,null,0.813608,null,null
0.0428289,null,null,0.591351,null
-0.00418958,null,null,null,-0.00185811
0.986487,0.0174341,null,null,null
-0.043219,null,0.813608,null,null
0.0428289,null,null,0.591351,null
-0.00418958,null,null,null,-0.00185811
0.986487,0.0174341,null,null,null
-0.043219,null,0.813608,null,null
0.0428289,null,null,0.591351,null
-0.00418958,null,null,null,-0.00185811
0.990774,0.0168719,null,null,null
0.000389688,null,0.759121,null,null
-0.0909721,null,null,0.62616,null
-0.00635616,null,null,null,0.0041914
0.990774,0.0168719,null,null,null
0.000389688,null,0.759121,null,null
-0.0909721,null,null,0.62616,null
-0.00635616,null,null,null,0.0041914
0.987684,0.0141754,null,null,null
-0.137456,null,0.633474,null,null
0.0445612,null,null,0.503857,null
-0.0042649,null,null,null,0.000173084
0.982256,0.00989512,null,null,null
-0.0224285,null,0.709294,null,null
-0.0495669,null,null,0.519256,null
-0.00243173,null,null,null,0.00399753
0.981474,0.0098746,null,null,null
-0.140995,null,0.627659,null,null
-0.138666,null,null,0.569291,null
-0.00128164,null,null,null,-0.00169202
0.981885,0.00237161,null,null,null
-0.203393,null,0.65748,null,null
-0.0938531,null,null,0.491159,null
-0.00162449,null,null,null,-0.000439716
0.98046,0.00163759,null,null,null
-0.348125,null,0.517833,null,null
-0.169382,null,null,0.469772,null
0.00333602,null,null,null,0.00506506
0.982925,0.00245906,null,null,null
-0.273628,null,0.54422,null,null
-0.212889,null,null,0.669593,null
-0.00316155,null,null,null,0.0034417
0.984126,0.00344346,null,null,null
-0.27394,null,0.635355,null,null
-0.227605,null,null,0.598264,null
0.00466536,null,null,null,-0.00195102
0.984126,0.00344346,null,null,null
-0.27394,null,0.635355,null,null
-0.227605,null,null,0.598264,null
0.00466536,null,null,null,-0.00195102
0.982457,0.00170325,null,null,null
-0.246101,null,0.520836,null,null
-0.483244,null,null,0.635939,null
0.00247028,null,null,null,1.00138e-05
0.979533,-0.00115983,null,null,null
-0.0929954,null,0.476784,null,null
-0.28681,null,null,0.466534,null
0.00082322,null,null,null,0.00111646
0.979533,-0.00115983,null,null,null
-0.0929954,null,0.476784,null,null
-0.28681,null,null,0.466534,null
0.00082322,null,null,null,0.00111646
0.984135,0.00349321,null,null,null
-0.219091,null,0.365371,null,null
-0.234802,null,null,0.657525,null
-0.000347056,null,null,null,-0.00184924
0.980764,0.00526115,null,null,null
-0.29254,null,0.688181,null,null
-0.241102,null,null,0.625125,null
-0.000252851,null,null,null,-0.00275879
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.978363,0.00185283,null,null,null
0.129189,null,0.571019,null,null
-0.302281,null,null,0.527367,null
-0.00555105,null,null,null,-0.00281044
0.981725,-0.000810271,null,null,null
-0.0210406,null,0.529675,null,null
-0.198228,null,null,0.565605,null
0.000905414,null,null,null,0.00033921
0.981725,-0.000810271,null,null,null
-0.0210406,null,0.529675,null,null
-0.198228,null,null,0.565605,null
0.000905414,null,null,null,0.00033921
0.981725,-0.000810271,null,null,null
-0.0210406,null,0.529675,null,null
-0.198228,null,null,0.565605,null
0.000905414,null,null,null,0.00033921
0.981725,-0.000810271,null,null,null
-0.0210406,null,0.529675,null,null
-0.198228,null,null,0.565605,null
0.000905414,null,null,null,0.00033921
0.981725,-0.000810271,null,null,null
-0.0210406,null,0.529675,null,null
-0.198228,null,null,0.565605,null
0.000905414,null,null,null,0.00033921
0.981725,-0.000810271,null,null,null
-0.0210406,null,0.529675,null,null
-0.198228,null,null,0.565605,null
0.000905414,null,null,null,0.00033921
0.981159,-0.00561919,null,null,null
0.0362102,null,0.512361,null,null
-0.314744,null,null,0.564721,null
-0.00112148,null,null,null,0.00261409
0.97878,-0.00915893,null,null,null
-0.00388027,null,0.520555,null,null
-0.216129,null,null,0.671585,null
0.00194141,null,null,null,0.000100188
0.980491,-0.0108125,null,null,null
0.0873891,null,0.497389,null,null
-0.0666931,null,null,0.595544,null
-0.00271323,null,null,null,-0.00390967
0.981707,-0.00607307,null,null,null
0.124268,null,0.553412,null,null
-0.0654601,null,null,0.60531,null
0.00251205,null,null,null,-0.00342609
0.97743,-0.0027407,null,null,null
0.0254939,null,0.542007,null,null
-0.0907011,null,null,0.542034,null
0.00441199,null,null,null,0.00228409
0.97743,-0.0027407,null,null,null
0.0254939,null,0.542007,null,null
-0.0907011,null,null,0.542034,null
0.00441199,null,null,null,0.00228409
0.977445,-0.00225443,null,null,null
0.101414,null,0.465001,null,null
-0.157074,null,null,0.564052,null
0.00375547,null,null,null,-0.00239938
0.978689,-0.00607954,null,null,null
0.121512,null,0.561063,null,null
-0.242236,null,null,0.552866,null
-0.000112348,null,null,null,-0.006454
0.981576,-0.01019,null,null,null
0.0722737,null,0.561423,null,null
-0.305919,null,null,0.697336,null
0.00225319,null,null,null,-0.0071058
0.981735,-0.0129444,null,null,null
0.266329,null,0.456574,null,null
-0.230046,null,null,0.826032,null
-0.00334836,null,null,null,-0.00499245
0.984455,-0.0115168,null,null,null
0.219781,null,0.596216,null,null
-0.190553,null,null,0.939299,null
-0.00171399,null,null,null,0.00142541
0.982274,-0.00915524,null,null,null
0.133181,null,0.421527,null,null
-0.163814,null,null,0.898182,null
0.000919453,null,null,null,0.00145004
0.983926,-0.006798,null,null,null
0.18004,null,0.502565,null,null
-0.185045,null,null,0.672714,null
0.00147969,null,null,null,0.00282476
0.979091,-0.0047477,null,null,null
0.150194,null,0.507977,null,null
-0.214007,null,null,0.731766,null
0.000636996,null,null,null,0.00342391
0.982434,-0.0055262,null,null,null
0.0475461,null,0.544624,null,null
-0.141733,null,null,0.735126,null
0.00190454,null,null,null,0.00297534
0.986476,-0.0112158,null,null,null
0.139261,null,0.56789,null,null
-0.113894,null,null,0.586756,null
0.00554339,null,null,null,0.0026318
0.987459,-0.0131499,null,null,null
0.13102,null,0.51692,null,null
-0.360841,null,null,0.646883,null
0.00411486,null,null,null,0.00200986
0.98503,-0.0150979,null,null,null
0.150918,null,0.347347,null,null
-0.287583,null,null,0.694971,null
-0.00170355,null,null,null,0.00956633
0.985865,-0.0127355,null,null,null
0.274999,null,0.509336,null,null
-0.207212,null,null,0.463473,null
0.00913145,null,null,null,0.00598331
0.985831,-0.00956275,null,null,null
0.252134,null,0.569286,null,null
-0.111408,null,null,0.446389,null
0.00176079,null,null,null,0.00581386
0.985831,-0.00956275,null,null,null
0.252134,null,0.569286,null,null
-0.111408,null,null,0.446389,null
0.00176079,null,null,null,0.00581386
0.985831,-0.00956275,null,null,null
0.252134,null,0.569286,null,null
-0.111408,null,null,0.446389,null
0.00176079,null,null,null,0.00581386
0.985831,-0.00956275,null,null,null
0.252134,null,0.569286,null,null
-0.111408,null,null,0.446389,null
0.00176079,null,null,null,0.00581386
0.987201,-0.0131509,null,null,null
0.0968445,null,0.503097,null,null
-0.155105,null,null,0.481941,null
0.00421344,null,null,null,0.00354584
0.989398,-0.0113852,null,null,null
0.0600851,null,0.545426,null,null
-0.186759,null,null,0.565949,null
0.00643911,null,null,null,-0.00322899
0.989398,-0.0113852,null,null,null
0.0600851,null,0.545426,null,null
-0.186759,null,null,0.565949,null
0.00643911,null,null,null,-0.00322899
0.990951,-0.00944065,null,null,null
0.0811348,null,0.485205,null,null
-0.0916569,null,null,0.522811,null
0.00225849,null,null,null,-0.0036669
0.986204,-0.0060637,null,null,null
-0.0115528,null,0.497376,null,null
-0.155042,null,null,0.57195,null
0.0059415,null,null,null,0.00207996
0.984882,-0.00614703,null,null,null
0.0497924,null,0.572275,null,null
-0.0805474,null,null,0.581862,null
0.000837228,null,null,null,-0.00204982
0.984882,-0.00614703,null,null,null
0.0497924,null,0.572275,null,null
-0.0805474,null,null,0.581862,null
0.000837228,null,null,null,-0.00204982
0.984882,-0.00614703,null,null,null
0.0497924,null,0.572275,null,null
-0.0805474,null,null,0.581862,null
0.000837228,null,null,null,-0.00204982
0.98494,-0.00743348,null,null,null
0.0509093,null,0.581276,null,null
-0.0757041,null,null,0.517999,null
-0.00109988,null,null,null,0.0023219
0.98494,-0.00743348,null,null,null
0.0509093,null,0.581276,null,null
-0.0757041,null,null,0.517999,null
-0.00109988,null,null,null,0.0023219
0.98777,-0.00770535,null,null,null
-0.00370581,null,0.669449,null,null
-0.0894261,null,null,0.469126,null
-0.00174779,null,null,null,0.00227716
0.984842,-0.0090687,null,null,null
-0.0282945,null,0.703435,null,null
-0.177989,null,null,0.500961,null
0.000401064,null,null,null,0.00525006
0.98124,-0.0139921,null,null,null
-0.00537117,null,0.683726,null,null
-0.210419,null,null,0.574538,null
-0.00253325,null,null,null,0.000518425
0.98124,-0.0139921,null,null,null
-0.00537117,null,0.683726,null,null
-0.210419,null,null,0.574538,null
-0.00253325,null,null,null,0.000518425
0.979287,-0.0155534,null,null,null
0.00657619,null,0.663829,null,null
-0.316789,null,null,0.603208,null
0.00316617,null,null,null,-0.00334081
0.984211,-0.012907,null,null,null
-0.0761837,null,0.609366,null,null
-0.238193,null,null,0.598904,null
-0.00409511,null,null,null,0.00521571
0.985285,-0.0114816,null,null,null
-0.110198,null,0.661532,null,null
-0.15811,null,null,0.547978,null
0.00138721,null,null,null,0.00385861
0.983237,-0.0128319,null,null,null
-0.0785819,null,0.578145,null,null
-0.151317,null,null,0.580046,null
0.000382004,null,null,null,0.00172449
0.983374,-0.010862,null,null,null
-0.184768,null,0.656019,null,null
-0.182431,null,null,0.59386,null
0.00168839,null,null,null,0.00548905
0.98241,-0.0123388,null,null,null
-0.156875,null,0.586695,null,null
-0.168839,null,null,0.666429,null
0.000300569,null,null,null,0.00428653
0.978975,-0.0123411,null,null,null
-0.217164,null,0.559539,null,null
-0.019075,null,null,0.650034,null
-0.00123547,null,null,null,-0.00383783
0.975535,-0.0151216,null,null,null
-0.162374,null,0.552185,null,null
-0.0201871,null,null,0.693863,null
0.000762964,null,null,null,-0.00241635
0.978471,-0.0187305,null,null,null
-0.148643,null,0.519857,null,null
0.115029,null,null,0.610249,null
0.00758665,null,null,null,-0.00184926
0.978471,-0.0187305,null,null,null
-0.148643,null,0.519857,null,null
0.115029,null,null,0.610249,null
0.00758665,null,null,null,-0.00184926
0.980759,-0.0189601,null,null,null
-0.00212591,null,0.506139,null,null
-0.00242998,null,null,0.63303,null
-0.00309501,null,null,null,0.00590626
0.982196,-0.0170695,null,null,null
-0.0316161,null,0.497006,null,null
0.13135,null,null,0.588244,null
-0.003365,null,null,null,-0.00156746
0.982196,-0.0170695,null,null,null
-0.0316161,null,0.497006,null,null
0.13135,null,null,0.588244,null
-0.003365,null,null,null,-0.00156746
0.982196,-0.0170695,null,null,null
-0.0316161,null,0.497006,null,null
0.13135,null,null,0.588244,null
-0.003365,null,null,null,-0.00156746
0.98507,-0.0174247,null,null,null
-0.0894054,null,0.510389,null,null
0.251335,null,null,0.781296,null
-0.00109285,null,null,null,0.00192502
0.98507,-0.0174247,null,null,null
-0.0894054,null,0.510389,null,null
0.251335,null,null,0.781296,null
-0.00109285,null,null,null,0.00192502
0.983589,-0.0192435,null,null,null
-0.135829,null,0.511085,null,null
0.223867,null,null,0.68192,null
0.00190934,null,null,null,0.00193156
0.981422,-0.0219189,null,null,null
-0.147306,null,0.375919,null,null
0.130849,null,null,0.67525,null
8.57288e-05,null,null,null,-0.00220965
0.979674,-0.0207059,null,null,null
-0.159123,null,0.503834,null,null
0.0781451,null,null,0.710439,null
0.00327976,null,null,null,-7.22596e-05
0.979674,-0.0207059,null,null,null
-0.159123,null,0.503834,null,null
0.0781451,null,null,0.710439,null
0.00327976,null,null,null,-7.22596e-05
0.979012,-0.0174371,null,null,null
-0.21396,null,0.536954,null,null
0.0886586,null,null,0.844745,null
0.00029694,null,null,null,-0.000952533
0.978694,-0.0187691,null,null,null
-0.213069,null,0.457959,null,null
0.13345,null,null,0.785755,null
-0.00108983,null,null,null,-0.00122684
0.982241,-0.0172384,null,null,null
-0.185671,null,0.439004,null,null
0.166709,null,null,0.686705,null
-0.000264636,null,null,null,0.00608176
0.985078,-0.0142393,null,null,null
-0.0985754,null,0.389436,null,null
0.106327,null,null,0.549929,null
-0.000674986,null,null,null,0.00313266
0.983272,-0.0111427,null,null,null
-0.273136,null,0.425496,null,null
0.088646,null,null,0.61619,null
0.0047859,null,null,null,-0.00111161
0.981769,-0.0120302,null,null,null
-0.225805,null,0.335269,null,null
0.12929,null,null,0.55725,null
0.00275014,null,null,null,-0.00365928
0.986437,-0.0141671,null,null,null
-0.18443,null,0.43463,null,null
0.187149,null,null,0.510185,null
0.00138734,null,null,null,-0.00133471
0.986759,-0.017315,null,null,null
-0.306504,null,0.47571,null,null
0.235467,null,null,0.57936,null
0.00271062,null,null,null,0.00125186
0.991522,-0.0160943,null,null,null
-0.162282,null,0.468187,null,null
0.246245,null,null,0.457835,null
-0.00486276,null,null,null,-0.00017488
0.988692,-0.0160617,null,null,null
-0.33992,null,0.391361,null,null
0.209599,null,null,0.507984,null
-0.0042941,null,null,null,-0.00322289
0.988692,-0.0160617,null,null,null
-0.33992,null,0.391361,null,null
0.209599,null,null,0.507984,null
-0.0042941,null,null,null,-0.00322289
0.988692,-0.0160617,null,null,null
-0.33992,null,0.391361,null,null
0.209599,null,null,0.507984,null
-0.0042941,null,null,null,-0.00322289
0.988424,-0.0129643,null,null,null
-0.353451,null,0.307551,null,null
0.187172,null,null,0.457679,null
-0.000173151,null,null,null,-0.000541561
0.988096,-0.0126404,null,null,null
-0.357422,null,0.374248,null,null
0.251139,null,null,0.383006,null
-0.00752515,null,null,null,0.00244877
0.988096,-0.0126404,null,null,null
-0.357422,null,0.374248,null,null
0.251139,null,null,0.383006,null
-0.00752515,null,null,null,0.00244877
0.987719,-0.0163449,null,null,null
-0.337464,null,0.369819,null,null
0.238005,null,null,0.378315,null
-0.00235884,null,null,null,0.00297794
0.986123,-0.0168345,null,null,null
-0.302005,null,0.358343,null,null
0.224541,null,null,0.450802,null
0.00128794,null,null,null,0.00319281
0.986123,-0.0168345,null,null,null
-0.302005,null,0.358343,null,null
0.224541,null,null,0.450802,null
0.00128794,null,null,null,0.00319281
0.981483,-0.0173015,null,null,null
-0.214425,null,0.348119,null,null
0.265035,null,null,0.481244,null
0.00123966,null,null,null,0.00105338
0.981483,-0.0173015,null,null,null
-0.214425,null,0.348119,null,null
0.265035,null,null,0.481244,null
0.00123966,null,null,null,0.00105338
0.98452,-0.0195286,null,null,null
-0.216994,null,0.371335,null,null
0.226326,null,null,0.532755,null
-0.000140413,null,null,null,0.00319696
0.985801,-0.0187631,null,null,null
-0.377156,null,0.301695,null,null
0.242395,null,null,0.575963,null
0.000717525,null,null,null,-0.000162443
0.989464,-0.0160127,null,null,null
-0.3556,null,0.337286,null,null
0.264636,null,null,0.625346,null
0.000678404,null,null,null,3.90646e-05
0.986069,-0.014987,null,null,null
-0.461282,null,0.356295,null,null
0.334839,null,null,0.513045,null
0.00236794,null,null,null,0.00492994
0.988857,-0.0145119,null,null,null
-0.309985,null,0.304372,null,null
0.350526,null,null,0.525722,null
0.00285695,null,null,null,-0.00287045
0.988857,-0.0145119,null,null,null
-0.309985,null,0.304372,null,null
0.350526,null,null,0.525722,null
0.00285695,null,null,null,-0.00287045
0.988857,-0.0145119,null,null,null
-0.309985,null,0.304372,null,null
0.350526,null,null,0.525722,null
0.00285695,null,null,null,-0.00287045
0.987529,-0.0203958,null,null,null
-0.309999,null,0.229089,null,null
0.409335,null,null,0.519404,null
0.00092791,null,null,null,-0.00066756
0.987529,-0.0203958,null,null,null
-0.309999,null,0.229089,null,null
0.409335,null,null,0.519404,null
0.00092791,null,null,null,-0.00066756
0.988154,-0.0209281,null,null,null
-0.36106,null,0.113199,null,null
0.408913,null,null,0.496584,null
-0.00168151,null,null,null,0.00482445
0.989299,-0.0250519,null,null,null
-0.314358,null,0.176915,null,null
0.403889,null,null,0.496266,null
0.00314088,null,null,null,0.000167079
0.991128,-0.0274705,null,null,null
-0.258483,null,0.11615,null,null
0.305542,null,null,0.452499,null
0.00347331,null,null,null,-0.000630241
0.989097,-0.0254804,null,null,null
-0.326219,null,0.191897,null,null
0.291063,null,null,0.465836,null
0.00361562,null,null,null,0.00196511
0.985999,-0.0220294,null,null,null
-0.36878,null,0.178546,null,null
0.357985,null,null,0.340539,null
0.00022322,null,null,null,-0.00288073
0.985999,-0.0220294,null,null,null
-0.36878,null,0.178546,null,null
0.357985,null,null,0.340539,null
0.00022322,null,null,null,-0.00288073
0.988897,-0.0229136,null,null,null
-0.39921,null,0.283938,null,null
0.405599,null,null,0.399176,null
-0.000847746,null,null,null,-0.000574614
0.988908,-0.0235001,null,null,null
-0.319046,null,0.289739,null,null
0.363959,null,null,0.390216,null
-0.000254376,null,null,null,0.00459945
0.988908,-0.0235001,null,null,null
-0.319046,null,0.289739,null,null
0.363959,null,null,0.390216,null
-0.000254376,null,null,null,0.00459945
0.994644,-0.0222329,null,null,null
-0.319351,null,0.35602,null,null
0.323692,null,null,0.414722,null
0.00109219,null,null,null,-0.00330779
0.994644,-0.0222329,null,null,null
-0.319351,null,0.35602,null,null
0.323692,null,null,0.414722,null
0.00109219,null,null,null,-0.00330779
0.993096,-0.0231823,null,null,null
-0.2095,null,0.387205,null,null
0.233854,null,null,0.41704,null
-0.00162047,null,null,null,0.00121855
0.992829,-0.0199304,null,null,null
-0.218594,null,0.302795,null,null
0.229772,null,null,0.499157,null
0.00289726,null,null,null,-0.00107586
0.989015,-0.0191263,null,null,null
-0.404784,null,0.374141,null,null
0.261279,null,null,0.387765,null
0.00107264,null,null,null,-0.000604852
0.985205,-0.0223703,null,null,null
-0.381654,null,0.365885,null,null
0.104001,null,null,0.448767,null
